id,Name,Region,TotalExport,TotalImport,Total
AGO,Angola,Sub-Saharan Africa,20744138.282,0,20744138.282
ARE,United Arab Emirates,Middle East and North Africa,75197325.189,35978423.466000006,111175748.65500002
ARG,Argentina,South America,20391012.294000003,1266126.312,21657138.606000002
AUS,Australia,Oceania,131717561.65399997,14533745.034,146251306.688
AUT,Austria,Europe,6776333.083000001,9619387.932,16395721.015
AZE,Azerbaijan,Central and Northern Asia,2093127.289,0,2093127.289
BEL,Belgium,Europe,62416811.12499999,61121296.491000004,123538107.616
BFA,Burkina Faso,Sub-Saharan Africa,1212648.224,0,1212648.224
BGD,Bangladesh,South Asia,0,2484933.529,2484933.529
BGR,Bulgaria,Europe,0,2249636.558,2249636.558
BHR,Bahrain,Middle East and North Africa,2050974.439,0,2050974.439
BLR,Belarus,Central and Northern Asia,4867257.962,8414895.003,13282152.965
BOL,Bolivia,South America,1290559.238,0,1290559.238
BRA,Brazil,South America,92067821.89999999,12474831.174999999,104542653.07499997
BRN,Brunei Darussalam,Southeast Asia,1739989.341,0,1739989.341
BWA,Botswana,Sub-Saharan Africa,4129092.56,0,4129092.56
CAN,Canada,North America,136523418.996,48128216.942,184651635.93799996
CHE,Switzerland,Europe,73964259.242,74114058.992,148078318.234
CHL,Chile,South America,35351397.494,4473997.965,39825395.459
CHN,China,China,103784293.403,494063229.61199987,597847523.0149999
CIV,Cote d'Ivoire,Sub-Saharan Africa,2426196.681,0,2426196.681
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,1938084.711,0,1938084.711
COG,"Congo, Rep.",Sub-Saharan Africa,2145140.3,0,2145140.3
COL,Colombia,South America,13951444.309999999,5136203.528,19087647.838
CRI,Costa Rica,Caribbean and Central America,1692332.514,1139034.618,2831367.132
CZE,Czech Rep.,Europe,2749807.389,6898013.607,9647820.996
DEU,Germany,Europe,89231485.673,143574919.922,232806405.595
DNK,Denmark,Europe,7924068.311999999,4238969.216,12163037.527999997
DOM,Dominican Rep.,Caribbean and Central America,0,2380053.438,2380053.438
DZA,Algeria,Middle East and North Africa,23895206.143000003,3405526.063,27300732.206000004
ECU,Ecuador,South America,7453427.023,2163066.474,9616493.497
EGY,Egypt,Middle East and North Africa,1462441.606,8670599.442000002,10133041.048000002
ESP,Spain,Europe,39857450.736999996,39881529.225,79738979.96200001
ETH,Ethiopia,Sub-Saharan Africa,0,1060634.04,1060634.04
FIN,Finland,Europe,4408978.699,4035491.986,8444470.685
FRA,France,Europe,41951544.777,75175225.11499998,117126769.892
GAB,Gabon,Sub-Saharan Africa,1059712.388,0,1059712.388
GBR,United Kingdom,Europe,45667374.674,94570303.85,140237678.52399996
GHA,Ghana,Sub-Saharan Africa,5208896.865,0,5208896.865
GIB,Gibraltar,Europe,0,2868136.715,2868136.715
GIN,Guinea,Sub-Saharan Africa,1073630.241,0,1073630.241
GRC,Greece,Europe,2131356.336,5931097.285,8062453.620999999
GTM,Guatemala,Caribbean and Central America,1971830.684,1845774.934,3817605.618
HKG,"China, Hong Kong SAR",China,54165572.21,66216228.162,120381800.37200001
HND,Honduras,Caribbean and Central America,0,1012954.787,1012954.787
HUN,Hungary,Europe,0,2101696.192,2101696.192
IDN,Indonesia,Southeast Asia,55248946.921000004,29866018.067999996,85114964.98900001
IND,India,South Asia,54363400.374,148058424.47100002,202421824.84499997
IRL,Ireland,Europe,3004489.246,3817908.548,6822397.794
IRN,Iran,Middle East and North Africa,27617905.326,3548436.376,31166341.702
IRQ,Iraq,Middle East and North Africa,43681320.88700001,1959374.543,45640695.43000001
ISR,Israel,Middle East and North Africa,11122913.965,3390047.941,14512961.906000001
ITA,Italy,Europe,23789878.726999998,68332611.424,92122490.151
JOR,Jordan,Middle East and North Africa,0,1220372.383,1220372.383
JPN,Japan,East Asia excluding China,43024445.143999994,170586003.88799998,213610449.03199995
KAZ,Kazakhstan,Central and Northern Asia,18055663.854,2131745.9,20187409.753999997
KOR,"Korea, Rep.",East Asia excluding China,43408621.912999995,114944837.16700001,158353459.08
KWT,Kuwait,Middle East and North Africa,27572494.104,0,27572494.104
LBN,Lebanon,Middle East and North Africa,0,1043824.596,1043824.596
LBY,Libya,Middle East and North Africa,4760461.782,0,4760461.782
LTU,Lithuania,Europe,0,2026157.978,2026157.978
LVA,Latvia,Europe,0,2038852.768,2038852.768
MAR,Morocco,Middle East and North Africa,1159479.512,0,1159479.512
MEX,Mexico,North America,43315187.930999994,49617810.117000006,92932998.04800001
MLI,Mali,Sub-Saharan Africa,2822055.029,0,2822055.029
MLT,Malta,Europe,0,1211177.592,1211177.592
MMR,Myanmar,Southeast Asia,7060688.48,1263886.007,8324574.487000001
MNG,Mongolia,Central and Northern Asia,3379652.04,0,3379652.04
MRT,Mauritania,Sub-Saharan Africa,1088434.188,0,1088434.188
MYS,Malaysia,Southeast Asia,35761442.238,25046665.831,60808108.06899999
NGA,Nigeria,Sub-Saharan Africa,21777310.842,5395355.077,27172665.919
NLD,Netherlands,Europe,93098618.94299999,90247826.469,183346445.412
NOR,Norway,Europe,48052408.376,0,48052408.376
NZL,New Zealand,Oceania,8618868.241,0,8618868.241
OMN,Oman,Middle East and North Africa,15107540.661,1193931.911,16301472.572
PAK,Pakistan,South Asia,1300059.052,5201799.159,6501858.211
PAN,Panama,Caribbean and Central America,0,3281952.6859999998,3281952.6859999998
PER,Peru,South America,17398630.53,3083470.5420000004,20482101.072
PHL,Philippines,Southeast Asia,2166650.804,9317450.606,11484101.41
PNG,Papua New Guinea,Oceania,3551163.318,0,3551163.318
POL,Poland,Europe,9555101.87,16372701.248999998,25927803.119
PRK,"Korea, Dem. Rep.",East Asia excluding China,1187109.758,0,1187109.758
PRT,Portugal,Europe,1577150.074,6156720.947,7733871.021
QAT,Qatar,Middle East and North Africa,43463222.64700001,0,43463222.64700001
ROU,Romania,Europe,0,1674989.643,1674989.643
RUS,Russian Federation,Central and Northern Asia,176324016.49700007,9364793.393000001,185688809.89000008
SAU,Saudi Arabia,Middle East and North Africa,112681790.575,6933254.7930000005,119615045.368
SDN,Sudan,Sub-Saharan Africa,1774149.083,0,1774149.083
SGP,Singapore,Southeast Asia,30097972.577000003,54598915.471,84696888.04800002
SSD,South Sudan,Sub-Saharan Africa,1459751.33,0,1459751.33
SVK,Slovakia,Europe,0,2410220.147,2410220.147
SWE,Sweden,Europe,3966548.539,13236547.338,17203095.877
THA,Thailand,Southeast Asia,25168701.315,40245345.86,65414047.175000004
TKM,Turkmenistan,Central and Northern Asia,5480969.398,0,5480969.398
TTO,Trinidad and Tobago,Caribbean and Central America,1261864.908,0,1261864.908
TUR,Turkey,Europe,15003505.446,21763816.56,36767322.006000005
UKR,Ukraine,Central and Northern Asia,7377182.325999999,3538621.713,10915804.039000003
URY,Uruguay,South America,1175262.871,0,1175262.871
USA,United States,North America,235259258.37399998,320653358.9189999,555912617.2929999
UZB,Uzbekistan,Central and Northern Asia,2861265.16,0,2861265.16
VEN,Venezuela,South America,25212537.998999998,1682963.078,26895501.077
VNM,Vietnam,Southeast Asia,11064402.719,36859844.688,47924247.407000005
ZAF,South Africa,Sub-Saharan Africa,28621198.294,6940769.76,35561968.054000005
ZMB,Zambia,Sub-Saharan Africa,2025854.864,0,2025854.864
ZWE,Zimbabwe,Sub-Saharan Africa,0,1104509.823,1104509.823
