"Date","Android","iOS","Series 40","Unknown","SymbianOS","Windows","Samsung","BlackBerry OS","Nokia Unknown","Linux","Playstation","KaiOS","Sony Ericsson","Xbox","Tizen","LG","bada","Nintendo","Firefox OS","MeeGo","Nintendo 3DS","Other"
2012-08,24.89,36.37,11.89,3.75,9.97,0.94,5.2,3.88,0,0.12,0.99,0,0.82,0,0,0.04,0.56,0.14,0,0.03,0.14,0.27
2012-09,25.9,35.8,11.93,3.81,9.63,0.96,5.29,3.79,0,0.11,0.88,0,0.77,0,0,0.04,0.55,0.12,0,0.03,0.12,0.26
2012-10,26.82,35.67,11.84,3.81,9.23,0.97,5.31,3.59,0,0.1,0.87,0,0.75,0,0,0.04,0.52,0.11,0,0.03,0.11,0.25
2012-11,28.24,35.4,11.93,3.76,8.65,1.02,5.16,3.3,0,0.09,0.8,0,0.7,0,0,0.03,0.46,0.1,0,0.03,0.11,0.21
2012-12,30.07,34.37,11.78,3.73,8.5,0.95,5.21,2.99,0,0.08,0.75,0,0.68,0,0,0.03,0.44,0.1,0,0.02,0.11,0.18
2013-01,32.8,37.22,9.85,3.3,6.78,0.89,3.85,2.81,0,0.44,0.74,0,0.54,0,0,0.03,0.34,0.11,0,0.02,0.12,0.16
2013-02,32.45,39.16,9.47,3.2,6.14,0.89,3.59,2.69,0,0.54,0.65,0,0.49,0,0,0.02,0.31,0.11,0,0.02,0.11,0.15
2013-03,32.74,39.19,9.42,3.21,5.97,0.97,3.5,2.64,0,0.55,0.62,0,0.47,0,0,0.02,0.3,0.11,0,0.02,0.12,0.14
2013-04,33.77,38.37,9.41,3.29,5.84,1.02,3.41,2.64,0,0.54,0.59,0,0.45,0,0,0.02,0.29,0.11,0,0.02,0.12,0.12
2013-05,33.91,37.54,9.67,3.54,5.83,1.09,3.47,2.79,0,0.51,0.58,0,0.44,0,0,0.02,0.28,0.11,0,0.02,0.08,0.11
2013-06,33.8,36.69,10.24,3.72,5.86,1.16,3.62,2.79,0,0.52,0.55,0,0.43,0,0,0.02,0.27,0.12,0,0.02,0.08,0.11
2013-07,34.29,35.99,11.06,2.8,4.92,1.29,3.57,2.95,0,1.35,0.57,0,0.42,0,0,0.24,0.25,0.12,0,0.02,0.07,0.1
