State or district;Latitude;Longitude;Trump;Trump%;TrumpEV;Harris;Harris%;HarrisEV;Stein;Stein%;SteinEV;Kennedy;Kennedy%;KennedyEv;Oliver;Oliver%;OliverEV;Others;Others%;OthersEV;Margin;Margin%;Margin swing;Total
Alabama;33.2588817;-86.8295337;1462616;64.6;9;772412;34.1;;4319;0.2;0;12075;0.5;0;4930;0.2;0;8738;0.4;0;690204;30.5;5.01;2265090
Alaska;64.4459613;-149.680909;184458;54.5;3;140026;41.4;;2342;0.7;;5670;1.7;;3040;0.9;;2641;0.5;;44432;13.1;3.07;338177
Arizona;34.395342;-111.763275;1770242;52.2;11;1582860;46.7;;18319;0.5;;;;;17898;0.5;;842;0.03;;187382;5.5;5.84;3390161
Arkansas;35.2048883;-92.4479108;759241;64.2;6;396905;33.6;;4275;0.4;;13255;1.1;;5715;0.5;;3285;0.3;;362336;30.6;3.02;1182676
California;36.7014631;-118.755997;6081697;38.3;;9276179;58.5;54;167814;1.1;;197645;1.2;;66662;0.4;;75478;0.5;;-3194482;-20.2;9.02;15865475
Colorado;38.7251776;-105.607716;1377441;43.1;;1728159;54.1;10;17344;0.5;;35623;1.1;;21439;0.7;;12739;0.4;;-350718;-11;2.52;3192745
Connecticut;41.6500201;-72.7342163;736918;41.9;;992053;56.4;7;14281;0.8;;8448;0.5;;6729;0.4;;581;0.04;;-255135;-14.5;5.56;1759010
Delaware;38.6920451;-75.4013315;214351;41.8;;289758;56.5;3;914;0.2;;4636;0.9;;2038;0.4;;1215;0.2;;-75407;-14.7;4.27;512912
District of Columbia;38.8938474;-76.9880428;21076;6.5;;294185;90.3;3;;;;2778;0.9;;;;;7830;2.4;;-273109;-83.8;2.94;325869
Florida;27.7567667;-81.4639835;6110125;56.1;30;4683038;43;;43155;0.4;;;;;31972;0.3;;25462;0.2;;1427087;13.1;9.74;10893752
Georgia;32.3293809;-83.1137366;2663117;50.7;16;2548017;48.5;;18229;0.4;;;;;20684;0.4;;;;;115100;2.2;2.44;5250047
Hawaii;19.6240377;-155.523637;193661;37.5;;313044;60.6;4;4387;0.8;;;;;2733;0.5;;2876;0.6;;-119383;-22.8;6.35;516701
Idaho;43.6447642;-114.015407;605246;66.9;4;274972;30.4;;2973;0.3;;12812;1.4;;4462;0.5;;4347;0.5;;330274;36.5;5.72;904812
Illinois;40.0796606;-89.4337288;2449079;43.5;;3062863;54.4;19;31023;0.6;;80426;1.4;;3510;0.1;;6409;0.1;;-613784;-10.9;6.09;5633310
Indiana;40.3270127;-86.1746933;1720347;58.8;11;1153603;39.4;;;;;29325;1;;20425;0.7;;2905;0.1;;566744;19.4;3.3;2926605
Iowa;41.9216734;-93.3122705;927019;55.7;6;707278;42.5;;;;;13122;0.8;;7218;0.4;;8869;0.5;;219741;13.2;5.01;1663506
Kansas;38.27312;-98.5821872;758802;57.2;6;544853;41;;;;;16322;1.2;;7614;0.6;;;;;213949;16.2;1.48;1327591
Kentucky;37.5726028;-85.1551411;1337494;64.5;8;704043;33.9;;7566;0.4;;16769;0.8;;6422;0.3;;2236;0.1;;633451;30.5;4.56;2074530
Louisiana;30.8703881;-92.007126;1208505;60.2;8;766870;38.2;;7138;0.4;;6641;0.3;;6835;0.3;;10986;0.6;;441635;22;3.4;2006975
