"Date","Chrome","Safari","UC Browser","Android","Opera","Samsung Internet","Nokia","BlackBerry","IEMobile","NetFront","Firefox","QQ Browser","Unknown","KaiOS","Dolfin","Puffin","Yandex Browser","Samsung","Edge Legacy","Openwave","Whale Browser","SonyEricsson","Obigo","Instabridge","Jasmine","Edge","Sony PSP","Tizen","Phantom","Coc Coc","Baidu Browser","Sony PSP Vita","MeeGo","mCent","Nintendo 3DS","Bolt","Other"
2009-01,0,35.96,0,1.92,24.69,0,17.78,4.91,1.49,1.35,0,0,0,0,0,0,0,0,0,2.61,0,3.17,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,1.73
2009-02,0,36.43,0,2.06,23.15,0,18.25,5.57,1.37,1.44,0,0,0,0,0,0,0,0,0,2.51,0,3.34,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,2.29
2009-03,0,39.6,0,2.18,21.45,0,17.95,5.97,1.24,1.46,0,0,0,0,0,0,0,0,0,2.32,0,3.15,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,1.49
2009-04,0,41.91,0,2.02,21.08,0,16.77,6.39,1.13,1.51,0,0,0,0,0,0,0,0,0,1.99,0,2.95,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,1.4
2009-05,0,37.32,0,1.86,24.64,0,17.9,6.92,1.01,1.52,0,0,0,0,0,0,0,0,0,1.9,0,2.92,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,1.32
2009-06,0,35.85,0,0.13,25.79,0,18.49,7.92,0.99,1.66,0,0,0,0,0,0,0,0,0,2.14,0,3.01,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0.03,1.26
2009-07,0,34.2,0,2.21,24.9,0,18.71,8.45,0.97,2.18,0,0,0,0,0,0,0,0.18,0,1.95,0,2.35,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,1.31
2009-08,0,33.91,0,2.28,25.47,0,18.68,8.45,1.06,3.67,0,0,0,0,0,0,0,0.69,0,1.54,0,0.22,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,1.89
2009-09,0,31.13,0,2.32,26.49,0,20.43,8.53,0.99,3.85,0,0,0,0,0,0,0,0.77,0,1.62,0,0.24,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,1.89
2009-10,0,30.5,0,2.56,26.92,0,20.84,8.79,0.8,3.69,0,0,0,0,0,0,0,0.8,0,1.53,0,0.24,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,1.78
2009-11,0,31.56,0,3.31,26.57,0,19.32,9.37,0.69,3.51,0,0,0,0,0,0,0,0.86,0,1.28,0,0.29,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,1.65
2009-12,0,32.05,0,4.06,26.39,0,18.98,9.27,0.58,3.35,0,0,0,0,0,0,0,0.88,0,1.09,0,0.31,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,1.47
2010-01,0,33.13,0,4.54,25.53,0,18.53,9.85,0.49,3.27,0,0,0,0,0,0,0,0.85,0,0.97,0,0.3,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,1.34
2010-02,0,33.92,0.02,5.35,25,0,16.99,10.67,0.41,3.06,0,0,0,0,0,0,0,0.9,0,0.96,0,0.29,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,1.31
2010-03,0,30.13,1.23,5.84,26.1,0,16.45,12.31,0.37,3.22,0,0,0,0,0,0,0,0.89,0,0.81,0,0.3,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,1.25
2010-04,0,29.39,1.13,6.18,26.14,0,15.52,13.67,0.32,3.23,0,0,0,0,0,0,0,0.85,0,0.69,0,0.31,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0.08,1.32
2010-05,0,29.06,1.21,6.3,26.68,0,14.69,13.78,0.27,3.06,0,0,0,0,0,0,0,0.78,0,0.69,0,0.31,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0.62,1.54
2010-06,0,26.71,1.16,6.84,25.89,0,15.98,14.68,0.23,3.38,0,0,0,0,0,0,0,0.97,0,0.71,0,0.33,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0.69,1.42
2010-07,0,25.87,1.02,8.32,23.55,0,16.5,16.19,0.23,3.51,0,0,0,0,0,0,0,0.94,0,0.68,0,0.36,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0.65,1.25
2010-08,0,25.49,0.99,8.95,23.52,0,16.3,16.7,0.2,3.52,0,0,0,0,0,0,0,0.95,0,0.63,0,0.38,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.5,1.19
2010-09,0,22.66,0.9,9.48,24.82,0,16.77,17.66,0.18,3.53,0,0,0,0,0,0,0,0.98,0,0.61,0,0.38,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0.51,1.07
2010-10,0,22.27,0.92,10.33,24.53,0,16.44,17.96,0.16,3.47,0,0,0,0,0,0,0,0.86,0,0.56,0,0.39,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.55,1.16
2010-11,0,21.8,1.05,11.27,21.85,0,16.65,19.05,0.14,3.86,0,0,0,0,0,0,0,1.2,0,0.65,0,0.41,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.51,1.2
2010-12,0,23.44,0.79,13.23,20.1,0,15.68,17.87,0.13,3.93,0,0,0,0,0,0,0,1.61,0,0.68,0,0.4,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0.44,1.27
2011-01,0,24.9,0.76,14.19,21.04,0,15.52,14.85,0.26,3.79,0,0,0,0,0,0,0,1.71,0,0.58,0,0.42,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0.41,1.18
2011-02,0,24.44,0.79,14.7,21.15,0,15.77,14.35,0.37,3.8,0,0,0,0,0,0,0,1.79,0,0.56,0,0.43,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0.39,1.11
2011-03,0,24.27,0.69,15.28,21.02,0,15.94,13.93,0.37,3.87,0,0,0,0,0,0,0,1.88,0,0.54,0,0.43,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.34,1.11
2011-04,0,23.24,0.7,15.49,21.9,0,16.32,13.37,0.37,3.51,0,0,0.55,0,0.22,0,0,1.4,0,0.5,0,0.43,0.07,0,0.27,0,0.31,0,0,0,0,0,0,0,0,0.33,1.02
2011-05,0,21.99,0.48,17.01,21.81,0,16.5,12.76,0.35,2.31,0,0,1.91,0,0.68,0,0,0.16,0,0.39,0,0.43,0.89,0,0.94,0,0.28,0,0,0,0,0,0,0,0,0.32,0.79
2011-06,0,19.96,0.58,17.25,22.81,0,17.66,11.98,0.32,3,0,0,1.24,0,0.78,0,0,0.38,0,0.36,0,0.44,0.99,0,0.95,0,0.26,0,0,0,0,0,0,0,0,0.33,0.71
2011-07,0,19.94,0.68,18.17,22.07,0,17.1,12.3,0.33,4.01,0,0,0.04,0,0.85,0,0,0.58,0,0.32,0,0.43,0.99,0,0.92,0,0.24,0,0,0,0,0,0,0,0,0.35,0.68
2011-08,0,19.31,0.81,19.72,21.61,0,16.99,11.64,0.34,4.05,0,0,0.04,0,0.99,0,0,0.62,0,0.3,0,0.42,1.01,0,0.93,0,0.26,0,0,0,0,0,0,0,0,0.3,0.65
2011-09,0,21.1,1.19,19.9,22.45,0,16.01,10.51,0.37,3.41,0,0,0.06,0,0.97,0,0,0.67,0,0.3,0,0.39,0.82,0,0.71,0,0.25,0,0,0,0,0,0,0,0,0.31,0.59
2011-10,0,23.36,4.7,20.88,21.52,0,12.4,9.26,0.41,3.1,0,0,0.02,0,0.92,0,0,0.58,0,0.29,0,0.29,0.72,0,0.56,0,0.29,0,0,0,0,0,0,0,0,0.28,0.39
2011-11,0,24.08,5.11,20.41,22.49,0,11.94,8.2,0.4,3.07,0.08,0,0.02,0,0.96,0,0,0.62,0,0.27,0,0.27,0.63,0,0.51,0,0.27,0,0,0,0,0,0.01,0,0,0.32,0.33
