Year,OperatingSystem ,Share
2012-08,Android,24.89
2012-08,iOS,36.37
2012-08,Series 40,11.89
2012-08,Unknown,3.75
2012-08,SymbianOS,9.97
2012-08,Samsung,5.2
2012-08,BlackBerry OS,3.88
2012-08,Nokia Unknown,0
2012-08,KaiOS,0
2012-08,Sony Ericsson,0.82
2012-08,Tizen,0
2012-08,LG,0.04
2012-08,bada,0.56
2012-08,Firefox OS,0
2012-08,MeeGo,0.03
2012-08,Other,0.27
2012-09,Android,25.9
2012-09,iOS,35.8
2012-09,Series 40,11.93
2012-09,Unknown,3.81
2012-09,SymbianOS,9.63
2012-09,Samsung,5.29
2012-09,BlackBerry OS,3.79
2012-09,Nokia Unknown,0
2012-09,KaiOS,0
2012-09,Sony Ericsson,0.77
2012-09,Tizen,0
2012-09,LG,0.04
2012-09,bada,0.55
2012-09,Firefox OS,0
2012-09,MeeGo,0.03
2012-09,Other,0.26
2012-10,Android,26.82
2012-10,iOS,35.67
2012-10,Series 40,11.84
2012-10,Unknown,3.81
2012-10,SymbianOS,9.23
2012-10,Samsung,5.31
2012-10,BlackBerry OS,3.59
2012-10,Nokia Unknown,0
2012-10,KaiOS,0
2012-10,Sony Ericsson,0.75
2012-10,Tizen,0
2012-10,LG,0.04
2012-10,bada,0.52
2012-10,Firefox OS,0
2012-10,MeeGo,0.03
2012-10,Other,0.25
2012-11,Android,28.24
2012-11,iOS,35.4
2012-11,Series 40,11.93
2012-11,Unknown,3.76
2012-11,SymbianOS,8.65
2012-11,Samsung,5.16
2012-11,BlackBerry OS,3.3
2012-11,Nokia Unknown,0
2012-11,KaiOS,0
2012-11,Sony Ericsson,0.7
2012-11,Tizen,0
2012-11,LG,0.03
2012-11,bada,0.46
2012-11,Firefox OS,0
2012-11,MeeGo,0.03
2012-11,Other,0.21
2012-12,Android,30.07
2012-12,iOS,34.37
2012-12,Series 40,11.78
2012-12,Unknown,3.73
2012-12,SymbianOS,8.5
2012-12,Samsung,5.21
2012-12,BlackBerry OS,2.99
2012-12,Nokia Unknown,0
2012-12,KaiOS,0
2012-12,Sony Ericsson,0.68
2012-12,Tizen,0
2012-12,LG,0.03
2012-12,bada,0.44
2012-12,Firefox OS,0
2012-12,MeeGo,0.02
2012-12,Other,0.18
2013-01,Android,32.8
2013-01,iOS,37.22
2013-01,Series 40,9.85
2013-01,Unknown,3.3
2013-01,SymbianOS,6.78
2013-01,Samsung,3.85
2013-01,BlackBerry OS,2.81
2013-01,Nokia Unknown,0
2013-01,KaiOS,0
2013-01,Sony Ericsson,0.54
2013-01,Tizen,0
2013-01,LG,0.03
2013-01,bada,0.34
2013-01,Firefox OS,0
2013-01,MeeGo,0.02
2013-01,Other,0.16
2013-02,Android,32.45
2013-02,iOS,39.16
2013-02,Series 40,9.47
2013-02,Unknown,3.2
2013-02,SymbianOS,6.14
2013-02,Samsung,3.59
2013-02,BlackBerry OS,2.69
2013-02,Nokia Unknown,0
2013-02,KaiOS,0
2013-02,Sony Ericsson,0.49
2013-02,Tizen,0
2013-02,LG,0.02
2013-02,bada,0.31
2013-02,Firefox OS,0
2013-02,MeeGo,0.02
2013-02,Other,0.15
2013-03,Android,32.74
2013-03,iOS,39.19
2013-03,Series 40,9.42
2013-03,Unknown,3.21
2013-03,SymbianOS,5.97
2013-03,Samsung,3.5
2013-03,BlackBerry OS,2.64
2013-03,Nokia Unknown,0
2013-03,KaiOS,0
2013-03,Sony Ericsson,0.47
2013-03,Tizen,0
2013-03,LG,0.02
2013-03,bada,0.3
2013-03,Firefox OS,0
2013-03,MeeGo,0.02
2013-03,Other,0.14
2013-04,Android,33.77
2013-04,iOS,38.37
2013-04,Series 40,9.41
2013-04,Unknown,3.29
2013-04,SymbianOS,5.84
2013-04,Samsung,3.41
2013-04,BlackBerry OS,2.64
2013-04,Nokia Unknown,0
2013-04,KaiOS,0
2013-04,Sony Ericsson,0.45
2013-04,Tizen,0
2013-04,LG,0.02
2013-04,bada,0.29
2013-04,Firefox OS,0
2013-04,MeeGo,0.02
2013-04,Other,0.12
2013-05,Android,33.91
2013-05,iOS,37.54
2013-05,Series 40,9.67
2013-05,Unknown,3.54
2013-05,SymbianOS,5.83
2013-05,Samsung,3.47
2013-05,BlackBerry OS,2.79
2013-05,Nokia Unknown,0
2013-05,KaiOS,0
2013-05,Sony Ericsson,0.44
2013-05,Tizen,0
2013-05,LG,0.02
2013-05,bada,0.28
2013-05,Firefox OS,0
2013-05,MeeGo,0.02
2013-05,Other,0.11
2013-06,Android,33.8
2013-06,iOS,36.69
2013-06,Series 40,10.24
2013-06,Unknown,3.72
2013-06,SymbianOS,5.86
2013-06,Samsung,3.62
2013-06,BlackBerry OS,2.79
2013-06,Nokia Unknown,0
2013-06,KaiOS,0
2013-06,Sony Ericsson,0.43
2013-06,Tizen,0
2013-06,LG,0.02
2013-06,bada,0.27
2013-06,Firefox OS,0
2013-06,MeeGo,0.02
2013-06,Other,0.11
2013-07,Android,34.29
2013-07,iOS,35.99
2013-07,Series 40,11.06
2013-07,Unknown,2.8
2013-07,SymbianOS,4.92
2013-07,Samsung,3.57
2013-07,BlackBerry OS,2.95
2013-07,Nokia Unknown,0
2013-07,KaiOS,0
2013-07,Sony Ericsson,0.42
2013-07,Tizen,0
2013-07,LG,0.24
2013-07,bada,0.25
2013-07,Firefox OS,0
2013-07,MeeGo,0.02
2013-07,Other,0.1
2013-08,Android,35.51
2013-08,iOS,34.39
2013-08,Series 40,11.07
2013-08,Unknown,2.77
2013-08,SymbianOS,4.92
2013-08,Samsung,3.57
2013-08,BlackBerry OS,3.04
2013-08,Nokia Unknown,0
2013-08,KaiOS,0
2013-08,Sony Ericsson,0.39
2013-08,Tizen,0
2013-08,LG,0.25
2013-08,bada,0.24
2013-08,Firefox OS,0
2013-08,MeeGo,0.02
2013-08,Other,0.1
2013-09,Android,35.87
2013-09,iOS,33.67
2013-09,Series 40,11.05
2013-09,Unknown,2.94
2013-09,SymbianOS,4.93
2013-09,Samsung,3.77
2013-09,BlackBerry OS,3.04
2013-09,Nokia Unknown,0
2013-09,KaiOS,0
2013-09,Sony Ericsson,0.38
2013-09,Tizen,0
2013-09,LG,0.26
2013-09,bada,0.23
2013-09,Firefox OS,0
2013-09,MeeGo,0.01
2013-09,Other,0.1
2013-10,Android,35.95
2013-10,iOS,30.86
2013-10,Series 40,11.74
2013-10,Unknown,4.3
2013-10,SymbianOS,5.21
2013-10,Samsung,3.99
2013-10,BlackBerry OS,3.16
2013-10,Nokia Unknown,0
2013-10,KaiOS,0
2013-10,Sony Ericsson,0.46
2013-10,Tizen,0
2013-10,LG,0.34
2013-10,bada,0.2
2013-10,Firefox OS,0
2013-10,MeeGo,0.01
2013-10,Other,0.1
2013-11,Android,37.27
2013-11,iOS,32.43
2013-11,Series 40,10.83
2013-11,Unknown,3.29
2013-11,SymbianOS,4.35
2013-11,Samsung,3.8
2013-11,BlackBerry OS,3.15
2013-11,Nokia Unknown,0.4
2013-11,KaiOS,0
2013-11,Sony Ericsson,0.44
2013-11,Tizen,0
2013-11,LG,0.31
2013-11,bada,0.2
2013-11,Firefox OS,0
2013-11,MeeGo,0.01
2013-11,Other,0.07
2013-12,Android,38.93
2013-12,iOS,31.68
2013-12,Series 40,10.48
2013-12,Unknown,3.47
2013-12,SymbianOS,3.99
2013-12,Samsung,3.66
2013-12,BlackBerry OS,3.01
2013-12,Nokia Unknown,0.49
2013-12,KaiOS,0
2013-12,Sony Ericsson,0.38
2013-12,Tizen,0
2013-12,LG,0.27
2013-12,bada,0.2
2013-12,Firefox OS,0
2013-12,MeeGo,0.01
2013-12,Other,0.05
2014-01,Android,39.97
2014-01,iOS,33.56
2014-01,Series 40,9.3
2014-01,Unknown,3.21
2014-01,SymbianOS,3.49
2014-01,Samsung,3.32
2014-01,BlackBerry OS,2.48
2014-01,Nokia Unknown,0.49
2014-01,KaiOS,0
2014-01,Sony Ericsson,0.32
2014-01,Tizen,0
2014-01,LG,0.24
2014-01,bada,0.19
2014-01,Firefox OS,0
2014-01,MeeGo,0.01
2014-01,Other,0.04
2014-02,Android,42.62
2014-02,iOS,32.66
2014-02,Series 40,8.68
2014-02,Unknown,3.03
2014-02,SymbianOS,3.19
2014-02,Samsung,3.08
